nan,kierunek,date,dzień tygodnia,start_time,liczba godzin lekcyjnych,class,title,instructor,subject,method,room,uwagi
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,12 a,dr,ZYSNARSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,13 a,dr,ZYSNARSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,11 a,dr,ZYSNARSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,12 b,mgr,TACZKOWSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,13 b,mgr,TACZKOWSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,11 b,mgr,TACZKOWSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,12 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,13 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,11 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,15 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,16 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,14 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,15 b,dr,ZYSNARSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,16 b,dr,ZYSNARSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,14 b,dr,ZYSNARSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,15 c,mgr,FRANEK Alicja,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,16 c,mgr,FRANEK Alicja,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,14 c,mgr,FRANEK Alicja,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,5,dr n. med.,TRITT Remigiusz,Genetyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,5,mgr,CZEKAŁA Beata,Podstawy pielęgniarstwa- konwersatorium + ICNP,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,6,dr n. med.,TRITT Remigiusz,Genetyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,6,mgr,CZEKAŁA Beata,Podstawy pielęgniarstwa- konwersatorium + ICNP,ćwiczenia,"sala 204
Świerzawska 18",
